Rider,Number,Bike,"Leogang - 2024 Class","Leogang - 2024 Cost","Leogang - 2024 Status","Bielsko-Biala - 2024 Class","Bielsko-Biala - 2024 Position","Bielsko-Biala - 2024 Points","Fort William - 2024 Class","Fort William - 2024 Position","Fort William - 2024 Points","Mont-Sainte-Anne - 2023 Class","Mont-Sainte-Anne - 2023 Position","Mont-Sainte-Anne - 2023 Points","Snowshoe - 2023 Class","Snowshoe - 2023 Position","Snowshoe - 2023 Points","Les Gets - 2023 Class","Les Gets - 2023 Position","Les Gets - 2023 Points","Loudenvielle - 2023 Class","Loudenvielle - 2023 Position","Loudenvielle - 2023 Points","Andorra - 2023 Class","Andorra - 2023 Position","Andorra - 2023 Points","Val di Sole - 2023 Class","Val di Sole - 2023 Position","Val di Sole - 2023 Points","Leogang - 2023 Class","Leogang - 2023 Position","Leogang - 2023 Points","Lenzerheide - 2023 Class","Lenzerheide - 2023 Position","Lenzerheide - 2023 Points"
"Nico Lamm",,,"Elite Men",32000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Nico Schlebes",,,"Elite Men",28000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikolas Kolle",,,"Elite Men",28000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nina Hoffmann",,"Santa Cruz Syndicate","Elite Women",120000,,"Elite Women",3,180,"Elite Women",2,210,"Elite Women",2,210,"Elite Women",2,210,"Elite Women",3,180,"Elite Women",2,210,"Elite Women",1,250,"Elite Women",5,120,"Elite Women",8,70,"Elite Women",3,180
"Nina-Yves Cameron",,,"Elite Women",30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noa Hirst Walker",,,"Junior Men",26000,,"Junior Men",10,22,"Junior Men",10,22,,,,,,,,,,,,,,,,,,,,,,,,
"Noah Hofmann",,,"Elite Men",25000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noe Guichard",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noel Niederberger",,"Backyard Racing Factory Team","Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Oisin O’Callaghan",,"YT Mob","Elite Men",85000,,"Elite Men",10,75,"Elite Men",N/A,0,"Elite Men",12,68,"Elite Men",1,250,,,,,,,"Elite Men",9,80,,,,"Elite Men",17,56,,,
"Oli Clark",,"Unior-Sinter Factory Racing","Junior Men",22000,,"Junior Men",DNQ,0,"Junior Men",8,26,,,,,,,,,,,,,,,,,,,,,,,,
"Oliver Nicholls",,,"Junior Men",12000,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oliver Vogl",,,"Junior Men",20000,,"Junior Men",15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oliver Zwar",,"Canyon Cllctv FMD","Elite Men",32000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,"Elite Men",19,52
"Ollie Davis",,"Santa Cruz Syndicate","Elite Men",47000,,"Elite Men",29,32,"Elite Men",DNQ,0,,,,,,,"Elite Men",15,60,"Elite Men",9,80,"Elite Men",11,71,,,,,,,,,
"Omri Danon",,"Commencal Les Orres","Junior Men",14000,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ondrej Kolecik",,,"Elite Men",28000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Onni Rainio",,"Seton Tuning","Elite Men",31000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Oriol Cuadrat",,"Muc-Off Young Guns","Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Oscar Bausager",,,"Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Oscar Griffiths",,"Intense Factory Racing","Junior Men",22000,,"Junior Men",11,20,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Pau Menoyo Busquets",,"Commencal / Schwalbe","Elite Men",37000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Phil Atwill",,"Propain Positive","Elite Men",46000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",14,63,,,,,,,,,,,,,,,,,,,"Elite Men",16,58
"Pierre Ollier",,,"Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Preston Williams",,"The Alliance","Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Quentin Jaud",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quinten Somsen",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rafael Pelletier",,"Muc-Off Young Guns","Junior Men",16000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,"Junior Men",5,35,,,,,,,"Junior Men",5,35,"Junior Men",8,26
"Raimundo Guzman Montesinos",,,"Elite Men",11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raphael Giambi",,Gen-S,"Junior Men",15000,,"Junior Men",5,35,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Raphael Iniguez",,"Commencal ICStudio","Elite Men",33000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Rastislav Baranek",,,"Elite Men",25000,,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reece Wilson",,"Trek Factory Racing Gravity","Elite Men",105000,,"Elite Men",N/A,0,"Elite Men",16,58,,,,,,,,,,,,,,,,,,,,,,,,
"Remi Thirion",,"Giant Factory Off-Road Team","Elite Men",62000,,"Elite Men",18,54,"Elite Men",18,54,"Elite Men",16,58,"Elite Men",11,71,,,,"Elite Men",5,140,,,,"Elite Men",15,60,,,,,,
"Remy Meier-Smith",,"Giant Factory Off-Road Team","Elite Men",44000,,"Elite Men",34,30,"Elite Men",17,56,,,,,,,,,,,,,,,,"Elite Men",10,75,"Elite Men",19,52,,,
"Rennie Falconer",,"Raw Fusion Racing","Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Riccardo Gramatica",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riko Maeuibo",,,"Junior Men",22000,,"Junior Men",19,7,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
